3603	0	@ManuelVitale75 Figa io non so che cazzo hanno nel cervello non lo so una cosa cosi evidente... sempre la stessa storia. Gol e chiusi in difesa.
2540	0	"Porca puttana Berardi contro di noi diventa CR7, chi se lo aspettava questo poker da parte sua""Io domani alle 23"""
3370	0	I miei genitori e mia sorella non capiscono mai un cazzo. Io accetto volentieri l’aiuto di mia sorella ma come spiega lei quella merda è totalmente diverso dagli schemi della prof e in verifica io devo BASARMI sulle parole scritte dalla prof porca puttana non è difficile
559	1	@gmlavolpe SEI UNA TROIA COME ANGELINICIAO ZOCCOLETTA!!! https://t.co/hmJCtfsMHl
3581	0	PROCA TROIA RAGA CHE CAZZO DI LEGGENDA https://t.co/l6WCc8Eckk
3897	0	@PVChloride LE TETTE PORCA PUTTANA CHE SENSO
2014	0	CHIEDETEMI COME PORCA PUTTANA STO
3535	0	@ambienteromano Porca troia che cazzo di amarezza.
3663	0	@meb Patetica... Di' la verità... Ma che cazzo te ne frega a te della squadra hokey di Bolzano? Una beata mazza! #svp#gigliofracico#MaiPiuPD
2945	0	La cosa ancora più bella è che i miei non si sono MAI amati o voluti beneSi sono sposati solo perché conveniva ad entrambiQuindi almeno DICO CHE CAZZO LI FATE A FARE TRE FIFLI PORCA TROIA
640	1	Bellissima culona https://t.co/rzt2Px84a5
2447	0	Porca puttana ma che cazzo di spavento con Arizona, siete pazziiii #greysanatomy
3119	0	MADONNA IO VADO LÀ PORCA PUTTANA, STO ORENDENDO L'AEREO E AMMAZZO DI NOTTE QJELL'ARBJTRO DI MERDA
1685	1	No va beh ho appena scoperto che andrea di Milano segue la pompinara su Instagram
908	1	Ho appena visto Baye che asfalta la figa di legno là....Cioè lui mio nuovo idolo...Lo amo...Ha vinto...Ciao...#GF15 https://t.co/8L4nG3oCrz
828	1	@moglieitaliana Ti sborro anche io così ne ho tanta e bella bianca e densa
1387	1	@IsolaDeiFamosi Che cazzo state dicendo ! Nn è che 2 codini fanno diventare una Britney... una era una figa imperiale L’ altra una balena siliconata  con i codini .... ????? nn si può sentire ????????
2466	0	ma ste stronzate ve le pensate o vi escono spontanee? porca puttana se siete ignoranti https://t.co/e8xUMiTlLO
327	1	@coppiecuriose @christa7110 Che troia che sei
3220	0	PORCA PUTTANA ODIO IL MAL DI DENTI, ORRIBILE ORRIBILE ORRIBILE CAZZO
1643	1	@giusepp53678094 Uhmmmm si ti sborro tutta bagnata al punto giusto?????
427	1	@MonellaClaudia Ke bella porca ti sborro tutta
3420	0	Vanzini porca puttana impara a tacere prima di fare i funerali
3745	0	che cazzo vi lamentate del fuorisalone che è una roba figa?
3887	0	@Bara__22 @porcodoi79 @Delig_R @CastaMaurizio @IlTweetDiDio @lefrasidiosho @DiegoFusaro @ilcjanpete @MazzOnedaje @tweeteeco @pandemione @a_meluzzi @intuslegens @VittorioSgarbi @DilettaLeotta @FCDaVelletri @FansClitorideo @cicciolina_uff @lauraperegolive @
1826	1	Alla mia ragazza culona piace scopare a tutte le ore https://t.co/X4Afv10i5E
3346	0	Il Bayern. MA PORCA PUTTANA PERCHÉ
244	1	re li lecco tutti poi mi seghi e ti sborro nelle piante mmm https://t.co/qmfMUzbf5t
2506	0	Mali nn qualifica nemmeno in coppa d’Africa, porca puttana #BeneventoJuve
2258	0	DIO BENEDICA IL MIO NASO CHE È L'UNICA COSA DECENTE CHE HO E CHE MIA MAMMA MI HA PASSATO ANCHE SE LEI È RUSSA E QUINDI FIGA DAL PRINCIPIO E POTEVA PASSARMI PIÙ GENI DELLA FIGAGGINE MA VABBÈ DAI https://t.co/H3tZOTnBfq
765	1	@sallyroxan non e' colpa mia  ..mi disegnano cosi diceva  quella bella tettona di Jessica ?? https://t.co/1S4y9vWFEY
17	1	Comunque Chiara Ferragni tettona sicuramente fra i regali più belli di questo 2018.
1760	1	figa di legno https://t.co/9lZK38FidO
3467	0	#Verstappen = #Marquez ??? 2 Bimbiminkia. #Verstappen lurida merda spero che ti scoppi la gomma e ti schianti figlio di troia
3861	0	Poi a me quando succede una cosa ci penso tutto il giorno porca puttana ma perché devo essere cosi
2730	0	Ma porca di quella lurida troia
3936	0	Gucci gang Gucci gang Gucci gang Gucci gang Gucci gangChingando por BarcelonaChiquita pero culona
250	1	@jihowons jinhwan non la chiama bobhwan ma jinbob che mi ricorda un kebab ma comunque PORCA PUTTANA SUL SERIO IO TI A M O TI RICOPRO DI BOBHWAN TE LE SPAMMO A TUTTE LE ORE QUANDO VUOIII https://t.co/WDb166ew0O
3341	0	MUOVETE IL CULO PORCA PUTTANA BON CE LA POSSO FARE
3302	0	Ma porca puttana cosa cazzo sta combinando la Lazio
3975	0	@isainsolia @lauraboldrini ma che cazzo dice!!!!!!!!!! se il partito era favorevole ad una alleanza con Berlusconi
387	1	@Lion18290125 Farei una bella spagnola in mezzo alle tue tettone e poi te lo infilerei in bocca...
3413	0	non riesco nemmeno a dormire, porca puttana
3440	0	porca troia ci mancava solo la menchi che paragona il suo essersi rifatta al diritto di poter cambiare sesso. ma dove cazzo stiamo ma perché cazzo quella ha ancora il diritto di parola
21	1	#Isola sto rivedendo replica dell'isola. Elena schifosa lurida, ma chiudi la boccaccia  Cattiva perfida
54	1	@carla_milf @luinonsospetta Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette
3755	0	Porca puttana di una troia pompinara di merda! #CataniaTrapani
2828	0	@lauraboldrini @AsiaArgento Laura Boldrini Asia Argento che coppia!
783	1	"Patrizia ballaNonna er puttanone entra pe' forza""Patrizia entraNonna ""che t'ha detto nonna tua...""Io la sgrido.#gf15"""
2482	0	@VVundabar Io ci abito ma sono momentaneamente assente. Avrei fatto la comparsa come figa di legno.
2567	0	"Allora Rudy, se metti in mezzo i pokèmon informati prima. Non hanno i superpoteri"" i pokèmon porca puttana. Adesso capisco perchè ti piace Biondo, sei tarato. #Amici17"""
3600	0	Io voglio dire un super vaffaculissimo a chiunque non mi apparenza figa ma che cazzo di problemi hai zio
444	1	@clubdelletroie che puttana che sei tesoro.... ?
3125	0	Ho appena finito di vedere #theSinner e porca puttana se merita quella serie! Il vero peccato è che sia stata abbastanza snobbata.La Biel poi vabbè, che ve lo dico affffá! ? Consigliatissima! ? https://t.co/YMzruScfaK
1005	1	@GILDA31395269 vieni da me ... che ti sborro dappertutto ...  Giovanni 339 3867640 Bologna
3299	0	porca puttana ma proprio con la mano sul cuore e con l'inno urlato https://t.co/9jO1uDpsuq
