869	1	@Lion18290125 Sei una cagna in calore
3662	0	Rega che schifo le feste porca troia VOGLIO ANDARE A CASA A DORMIREEEEEEEEEEEEEE
2270	0	La mattina dopo mi sveglio con la consapevolezza e la tranquillitá che l'Inter é un sqMAURITO PORCA PUTTANA COSA TI SEI MAGNATOOOOOOO
1123	1	Oggi mi sento un po' tettona
663	1	@gual89 @passony_ Però è ESCO A FARE IL PUTTANONE per cortesia ?
3972	0	Si vabbeh ma che cazzo scrivete che oggi non ho tempo per leggere niente e sicuro ci saranno stati già 15 tuit dell' anno 8 catfight 20 polemiche e tette e culi in TL a pioggia e io sto lavorando porca troia.
681	1	@Irenemendesarmy @shawnsbarb @ShawnMendes pensavo fossi tu la pompinara
1935	0	@kuneijder Ah sei interista porca puttana
835	1	@ibbatta Ma perché no? Vogliono che le persone con cui si rapportano su tw li trovino anche su ig ma non vogliono essere seguiti dalle puttanone che promettono sesso, da pagine inutili o dai filippini fake ??‍♀️
2479	0	Porca puttana adesso faccio scendere tutti i santi dal calendario
2812	0	@PTRGLT @stanzaselvaggia Ma che cazzo c'entra? Ma leggere un racconto leggero e farvi una risata, no? La pesantezza.
2314	0	@iMilanista Veramente ma porca puttana, ma dobbiamo farci ridere dietro a ogni cazzo di giorno.
3574	0	6.20 sei alla fermata del bus, aspetti il pullman, non fai nulla di strano, non sei manco una bella figa, mi dite che cazzo ci avete da guardare? Voi che passate motorizzati...
1511	1	@lauraboldrini @Quirinale @PietroGrasso ADDIO ALLA CAGNA LESBICA BOLDRINI CHE E' STATA SBATTUTA FUORI A CALCI IN CULO DAGLI ITALIANI PIU' ACCULTURATI DI QUESTO SCARTO SOCIALE.ORA TI ASPETTA L'INFERNO LURIDA LESBICA.MANCO IN AFRICA PUOI LAVORARE MERDA ahah
3463	0	“Vergognosa la reazione di Buffon”. Poi gli dici Benatia non commette fallo e loro: che cazzo dici gobbo di merda figlio di troia ti deve morire tutta la famiglia sotto un tir. Questi fanno la morale a Buffon. 6 scudetti consecutivi li avete “sentiti” più voi che noi. Che dolore
1346	1	"@ArsenaleKappa a quando al gabbio  anche  la culona ""?"""
3252	0	In jam jam Jun dice solamente ‘baby play with me’ e ‘say my name’ E PORCA PUTTANA SE MI FA SENTIRE A DISAGIO È FOTTUTAMENTE ILLEGALE SOLO PER IL MODO IN CUI LO DICE
2723	0	Kessie porca puttana bastava sputare sul pallone!
1632	1	@TelegnoccaVip @stanzaselvaggia Che bocce però...??
2141	0	#TaehyungArmysLovesYouALLORA CAZZONI DI MERDA POTETE TOCCARMI TUTTO MA I BANGTAN NO!  PERCHÉ ORA AVETE ROTTO IL CAZZO, MO VENGO LA VI FACCIO TALMENTE MALE CHE GLI OCCHI DAL CULO VR LI FACCIO USCIRE AVETE CAPITO PORCA PUTTANA!!???  VI FACCIO UN CULO QUANTO UNA CASA BASTARDI!!!!!
72	1	@giusydiba Ti inculo
2432	0	HO UN ESAME ORALE TRA POCHI MINUTI PORCA PUTTANA VACCA IMPANATA
918	1	figa di legno #designweek
1095	1	@Giuliettaxxx84 Ti sfonderei e ti allargherei la figa e poi ti riempirei di sborra le dita dei piedi
1366	1	@Giorgiolaporta @bartolidanieli E quando la culona si leverà anche lei dalle palle!
156	1	@LunaDarkHot @spicylabPROD @SalaoErosPorto @SALONEROTICOBCN @FansClubIonella @M6969Xx @Milf_SexyHot Te lo metterei in bocca in figa nelle tette per una spagnola e nel culo
325	1	"@Agenzia_Ansa Classico esempio di Donna schiava, zitta e lava"" che piace tanto a questi simpatici fascisti amanti del focolare tradizionale"""
2495	0	@mcnamstairs Ce porca puttana io manco me ne ero resa conto ma vai a cercare proprio il pelo nell’uovo ?
624	1	@stressedinblack Tra l'altro era oscena quella coreografia, lei sembrava un puttanone. Fortuna Andreas e Sebastian
3790	0	@sabri_giannini @stanzaselvaggia @AsiaArgento Che cazzo significa?!
3914	0	Sono disperata per colpa dei 5sos, porca puttana
2195	0	schifosi rotti in culo.. mai vista una squadra così culona come il Milan oggi mai
2752	0	Kessiè porca puttana un passaggio buono mai
239	1	@Lion18290125 Ti sborro adesso
3044	0	porca puttana ci mancava solo la corrente che va via a porta garibaldi. questa giornata non finisce più
1889	0	Ma porca puttana,oggi non sapevo che cazzo mettermi,sto male,odio la mia vita,il bello è che ho un casino di vestiti,ma nemmeno uno fottuto che mi andava bene,sono emotivamente sotto shock,mi faccio schifo...che giornata di merda...che vita di merda...e che cazzo!!
1290	1	RT @winterlange: Luigi: “Mia madre ha 47 anni vedessi che culo che c’ha, non come questa merda” (alludendo ad Aida)Baye: “Sei una cagna”D…
3959	0	RT @signore_monelle: Mi chiamo Paola e amo definirmi una milf tettona in cerca di cazzi......Vuoi conoscermi &gt;&gt; https://t.co/Fi4GasFw81 h…
1998	0	Sta arrivando tua moglie a difenderti,perché non vai dietro a lei? — Ma che cazzo mi significa scusaE che cazzo vuoi da Effy porca troia https://t.co/kbTLHKEVc9
1875	0	aaaaahh che dolore adesso il nuovo format delle pagine shitposting italiane è un post tipo “minchia frate l’altro giorno ho scaricato nel cesso uno stronzo che porca puttana ti tiro un pugno”iiiisssssshh che dolore
3541	0	"Quelli che difendono Benatia devono essere gli stessi che dopo una notizia di uno stupro commentano con sicuramente lei se l'è cercata"", siete ridicoli."""
3486	0	Retweeted Asia Argento (@AsiaArgento):Visto che le garba il “blu balestra” propongo di regalare una penna a @virginiaraggi con inchiostro dello stesso colore per apporre la firma e sancire finalmente con... https://t.co/z30Fa3dLzC
1565	1	tutta passa e va dalla puttanona tesó
292	1	Culona non raccontare balle ancora ....un tedesco ???? PUZZA e come se puzzza !!!
2511	0	Se c'è un motivo per cui oggi non ho scritto nulla sul buon #IgnazioScardina, è proprio per il vomito su #Calciopoli che ho letto in giro. Il tutto mentre la lurida puttana ha bisogno di due rigori per battere una squadra di Serie B. https://t.co/TNyuTXtimZ
2626	0	Non sono dimagrita e mi voglio ammazzare dieta del cazzo che non funzioni e porca puttana vomito
1047	1	@1111scihl Eccola la pompinara
110	1	@MiyakeEau @elettraglide Troia ,succhiacazzi , infame e comunista
1814	1	@amandaeliseIee Pezzo di figa
842	1	@Lion18290125 Bella bellissima puttanona mmmmmmmmmmmmmmmmmmmm
136	1	che puttanone mamma mia https://t.co/mTuoPsvAP7
2549	0	@ Daniele e Zic tagliatevi i capelli porca puttana #Amici17
2614	0	Porca puttana quanto fa freddo, e i termosifoni sono pure spenti, grazie al cazzo che sto male da dieci giorni
393	1	@lasteffjna @_BlackJasmin_ Mo posto una foto così pure io. Qualcuno mi presta una tettona?
3247	0	@oniizip10 Porca puttana cosa gli stavamo combinando...Non so se lo ricordi, prima della finale Juve-Barca mi pare che avevamo parlato di Ulisse-Nessuno contro Polifemo...ti giuro che ieri mi è tornata in mente a un certo punto. Avremmo meritato, per tant
3710	0	@bettyboop2427 @danieldera0422 @tom_longobardi @lauraboldrini Nell’attesa di sapere chi sono queste “altre donne”, eccone un’altra notoriamente sottomessa https://t.co/mtLldgV2ne
1952	0	RAGA porca puttana come avete fatto a fare delle foto così belle mado le mie fanno cagare
3334	0	@andsnz @berlusconi Vai fare culo figlio di pompinara.Hai capito brutto bastardo.Segaiolo ahaha
1918	0	Non l'avevo letto ?Gigi, taci porca puttana! https://t.co/7uWnjNktLz
3648	0	L'ex ministro Mario Landolfi prende a schiaffi l'inviato di Giletti [VIDEO] https://t.co/lUyAAgjqLn ok se ne sono andati a puttane tutti i vitalizzi!  ci sono azioni che possono essere soltanto a responsabiità personale
1872	0	che palle ma perche Post Malone doveva venire a Roma proprio il giorno dei Cigarettes After Sex cioè porca puttana io volevo sentire live I fall Apart aka una delle mie canzoni preferite al momento
2012	0	MA LA VOCE DI JIN PORCA PUTTANA IO NON MI STO SENTENDO BENE #FaceYourselfOutNow
1724	1	@_Francy_Fra_P immaginarti tanto troia mi eccita talmente che ti scoperei senza sosta
